,DATE,STATION,rain,temp
32,2013/9/3,"PUERTO CASADO, PA",0,26.2
33,2013/9/4,"PUERTO CASADO, PA",11.57464789,21.6
34,2013/9/5,"PUERTO CASADO, PA",11.57464789,25.8
35,2013/9/6,"PUERTO CASADO, PA",11.57464789,28.8
36,2013/9/7,"PUERTO CASADO, PA",11.57464789,29.8
37,2013/9/8,"PUERTO CASADO, PA",11.57464789,28.4
38,2013/9/9,"PUERTO CASADO, PA",0.3,26.3
39,2013/9/10,"PUERTO CASADO, PA",0,28.9
40,2013/9/11,"PUERTO CASADO, PA",11.57464789,29.8
41,2013/9/12,"PUERTO CASADO, PA",11.57464789,28.6
42,2013/9/13,"PUERTO CASADO, PA",11.57464789,30.4
43,2013/9/14,"PUERTO CASADO, PA",11.57464789,24.9
44,2013/9/15,"PUERTO CASADO, PA",1.5,23.3
45,2013/9/16,"PUERTO CASADO, PA",0.3,17.3
46,2013/9/17,"PUERTO CASADO, PA",2.8,14.6
47,2013/9/18,"PUERTO CASADO, PA",0,17.1
48,2013/9/19,"PUERTO CASADO, PA",11.57464789,20.6
49,2013/9/20,"PUERTO CASADO, PA",11.57464789,25.2
50,2013/9/21,"PUERTO CASADO, PA",11.57464789,31.2
51,2013/9/22,"PUERTO CASADO, PA",11.57464789,23.3
52,2013/9/23,"PUERTO CASADO, PA",1.5,16
53,2013/9/24,"PUERTO CASADO, PA",0,17.4
54,2013/9/25,"PUERTO CASADO, PA",11.57464789,15.4
55,2013/9/26,"PUERTO CASADO, PA",11.57464789,19.8
56,2013/9/27,"PUERTO CASADO, PA",11.57464789,25.3
57,2013/9/28,"PUERTO CASADO, PA",11.57464789,30.8
58,2013/9/29,"PUERTO CASADO, PA",11.57464789,27.2
59,2013/9/30,"PUERTO CASADO, PA",11.57464789,20.2
60,2013/10/1,"PUERTO CASADO, PA",11.57464789,16.2
61,2013/10/2,"PUERTO CASADO, PA",11.57464789,19.8
62,2013/10/3,"PUERTO CASADO, PA",11.57464789,24
63,2013/10/4,"PUERTO CASADO, PA",5.6,21.8
64,2013/10/5,"PUERTO CASADO, PA",1.3,20.7
65,2013/10/6,"PUERTO CASADO, PA",0,22.1
66,2013/10/7,"PUERTO CASADO, PA",11.57464789,23.3
67,2013/10/8,"PUERTO CASADO, PA",11.57464789,27.6
68,2013/10/9,"PUERTO CASADO, PA",11.57464789,29.7
69,2013/10/10,"PUERTO CASADO, PA",11.57464789,26.8
70,2013/10/11,"PUERTO CASADO, PA",42.2,22.1
71,2013/10/12,"PUERTO CASADO, PA",0,25.4
72,2013/10/13,"PUERTO CASADO, PA",58.4,23.2
73,2013/10/14,"PUERTO CASADO, PA",0,24.1
74,2013/10/15,"PUERTO CASADO, PA",5.3,22.8
75,2013/10/16,"PUERTO CASADO, PA",3.3,23.8
76,2013/10/17,"PUERTO CASADO, PA",0,27.3
77,2013/10/18,"PUERTO CASADO, PA",11.57464789,26.5
78,2013/10/19,"PUERTO CASADO, PA",11.57464789,26.3
79,2013/10/20,"PUERTO CASADO, PA",11.57464789,30
80,2013/10/21,"PUERTO CASADO, PA",11.57464789,31.8
81,2013/10/22,"PUERTO CASADO, PA",0.5,24.7
82,2013/10/23,"PUERTO CASADO, PA",0,30.6
83,2013/10/24,"PUERTO CASADO, PA",11.57464789,29.5
84,2013/10/25,"PUERTO CASADO, PA",42.9,24.8
85,2013/10/26,"PUERTO CASADO, PA",0,27.6
86,2013/10/27,"PUERTO CASADO, PA",37.3,26.9
87,2013/10/28,"PUERTO CASADO, PA",0,26.1
88,2013/10/29,"PUERTO CASADO, PA",11.57464789,29.1
89,2013/10/30,"PUERTO CASADO, PA",11.57464789,29.7
90,2013/10/31,"PUERTO CASADO, PA",18.3,27.1
91,2013/11/1,"PUERTO CASADO, PA",0,29.9
92,2013/11/2,"PUERTO CASADO, PA",11.57464789,26.8
93,2013/11/3,"PUERTO CASADO, PA",11.57464789,22.2
94,2013/11/4,"PUERTO CASADO, PA",1,22.8
95,2013/11/5,"PUERTO CASADO, PA",0,23.7
96,2013/11/6,"PUERTO CASADO, PA",11.57464789,26
97,2013/11/7,"PUERTO CASADO, PA",11.57464789,27.8
98,2013/11/8,"PUERTO CASADO, PA",11.57464789,29.2
99,2013/11/9,"PUERTO CASADO, PA",11.57464789,30
100,2013/11/10,"PUERTO CASADO, PA",11.57464789,31.2
101,2013/11/11,"PUERTO CASADO, PA",11.57464789,27.7
102,2013/11/12,"PUERTO CASADO, PA",11.57464789,23.8
103,2013/11/13,"PUERTO CASADO, PA",11.57464789,25.9
104,2013/11/14,"PUERTO CASADO, PA",11.57464789,28.9
105,2013/11/15,"PUERTO CASADO, PA",11.57464789,31.7
106,2013/11/16,"PUERTO CASADO, PA",32,23.6
107,2013/11/17,"PUERTO CASADO, PA",1,24.3
108,2013/11/18,"PUERTO CASADO, PA",0,28.8
109,2013/11/19,"PUERTO CASADO, PA",11.57464789,30.1
110,2013/11/20,"PUERTO CASADO, PA",92.2,26
111,2013/11/21,"PUERTO CASADO, PA",23.9,25
112,2013/11/22,"PUERTO CASADO, PA",0,26.3
113,2013/11/23,"PUERTO CASADO, PA",11.57464789,27.5
114,2013/11/24,"PUERTO CASADO, PA",11.57464789,28.9
115,2013/11/25,"PUERTO CASADO, PA",11.57464789,29.7
116,2013/11/26,"PUERTO CASADO, PA",11.57464789,30.7
117,2013/11/27,"PUERTO CASADO, PA",11.57464789,30.6
118,2013/11/28,"PUERTO CASADO, PA",11.57464789,31.4
119,2013/11/29,"PUERTO CASADO, PA",11.57464789,27.7
120,2013/11/30,"PUERTO CASADO, PA",11.57464789,27.9
121,2013/12/1,"PUERTO CASADO, PA",11.57464789,29.4
122,2013/12/2,"PUERTO CASADO, PA",11.57464789,30.1
123,2013/12/3,"PUERTO CASADO, PA",11.57464789,30.6
124,2013/12/4,"PUERTO CASADO, PA",32.5,28.3
125,2013/12/5,"PUERTO CASADO, PA",0,32.5
126,2013/12/6,"PUERTO CASADO, PA",19.3,28.3
127,2013/12/7,"PUERTO CASADO, PA",12.4,26.4
128,2013/12/8,"PUERTO CASADO, PA",0,29.7
129,2013/12/9,"PUERTO CASADO, PA",11.57464789,30.8
130,2013/12/10,"PUERTO CASADO, PA",13.5,26.3
131,2013/12/11,"PUERTO CASADO, PA",0,27.3
132,2013/12/12,"PUERTO CASADO, PA",11.57464789,27.1
133,2013/12/13,"PUERTO CASADO, PA",11.57464789,29.3
134,2013/12/14,"PUERTO CASADO, PA",11.57464789,29.1
135,2013/12/15,"PUERTO CASADO, PA",11.57464789,29.8
136,2013/12/16,"PUERTO CASADO, PA",11.57464789,28.4
137,2013/12/17,"PUERTO CASADO, PA",11.57464789,28.6
138,2013/12/18,"PUERTO CASADO, PA",11.57464789,30.7
139,2013/12/19,"PUERTO CASADO, PA",11.57464789,28.4
140,2013/12/20,"PUERTO CASADO, PA",11.57464789,28
141,2013/12/21,"PUERTO CASADO, PA",11.57464789,30.1
142,2013/12/22,"PUERTO CASADO, PA",11.57464789,28.4
143,2013/12/23,"PUERTO CASADO, PA",11.57464789,28
144,2013/12/24,"PUERTO CASADO, PA",11.57464789,30
145,2013/12/25,"PUERTO CASADO, PA",11.57464789,29.7
146,2013/12/26,"PUERTO CASADO, PA",11.57464789,29.8
147,2013/12/27,"PUERTO CASADO, PA",11.57464789,30.6
148,2013/12/28,"PUERTO CASADO, PA",26.4,27.8
149,2013/12/29,"PUERTO CASADO, PA",23.9,26.6
150,2013/12/30,"PUERTO CASADO, PA",2,27
151,2013/12/31,"PUERTO CASADO, PA",3.3,27.5
152,2014/1/1,"PUERTO CASADO, PA",138.4,25.2
153,2014/1/2,"PUERTO CASADO, PA",16,29
154,2014/1/3,"PUERTO CASADO, PA",0,29.3
155,2014/1/4,"PUERTO CASADO, PA",41.4,25.1
156,2014/1/5,"PUERTO CASADO, PA",20.8,28.1
157,2014/1/6,"PUERTO CASADO, PA",0,29
158,2014/1/7,"PUERTO CASADO, PA",11.57464789,28.2
159,2014/1/8,"PUERTO CASADO, PA",11.57464789,28.1
160,2014/1/9,"PUERTO CASADO, PA",2,28.6
161,2014/1/10,"PUERTO CASADO, PA",0,29.9
162,2014/1/11,"PUERTO CASADO, PA",11.57464789,30.6
163,2014/1/12,"PUERTO CASADO, PA",79.2,25.3
164,2014/1/13,"PUERTO CASADO, PA",2.3,27.8
165,2014/1/14,"PUERTO CASADO, PA",8.4,27.3
166,2014/1/15,"PUERTO CASADO, PA",21.3,26.8
167,2014/1/16,"PUERTO CASADO, PA",33.3,27.1
168,2014/1/17,"PUERTO CASADO, PA",0,25.9
169,2014/1/18,"PUERTO CASADO, PA",26.7,27.6
170,2014/1/19,"PUERTO CASADO, PA",0,28.8
171,2014/1/20,"PUERTO CASADO, PA",11.57464789,28.8
172,2014/1/21,"PUERTO CASADO, PA",1,28.2
173,2014/1/22,"PUERTO CASADO, PA",0,29.9
174,2014/1/23,"PUERTO CASADO, PA",3,30.6
175,2014/1/24,"PUERTO CASADO, PA",0,29.1
176,2014/1/25,"PUERTO CASADO, PA",11.57464789,27.3
177,2014/1/26,"PUERTO CASADO, PA",11.57464789,23.3
178,2014/1/27,"PUERTO CASADO, PA",11.57464789,27
179,2014/1/28,"PUERTO CASADO, PA",11.57464789,27.8
180,2014/1/29,"PUERTO CASADO, PA",11.57464789,29.3
181,2014/1/30,"PUERTO CASADO, PA",11.57464789,28.3
182,2014/1/31,"PUERTO CASADO, PA",11.57464789,28.5
183,2014/2/1,"PUERTO CASADO, PA",11.57464789,29.6
184,2014/2/2,"PUERTO CASADO, PA",11.57464789,30.6
185,2014/2/3,"PUERTO CASADO, PA",2,30.1
186,2014/2/4,"PUERTO CASADO, PA",0,30.4
187,2014/2/5,"PUERTO CASADO, PA",11.57464789,29.6
188,2014/2/6,"PUERTO CASADO, PA",11.57464789,31.2
189,2014/2/7,"PUERTO CASADO, PA",11.57464789,30.1
190,2014/2/8,"PUERTO CASADO, PA",11.57464789,28.9
191,2014/2/9,"PUERTO CASADO, PA",11.57464789,30.9
192,2014/2/10,"PUERTO CASADO, PA",11.57464789,28.9
193,2014/2/11,"PUERTO CASADO, PA",1,28.2
194,2014/2/12,"PUERTO CASADO, PA",2,28.8
195,2014/2/13,"PUERTO CASADO, PA",0,26.8
196,2014/2/14,"PUERTO CASADO, PA",19.8,26.3
197,2014/2/15,"PUERTO CASADO, PA",0,26.9
198,2014/2/16,"PUERTO CASADO, PA",2,26.8
199,2014/2/17,"PUERTO CASADO, PA",0,28.2
200,2014/2/18,"PUERTO CASADO, PA",11.57464789,27.6
201,2014/2/19,"PUERTO CASADO, PA",11.57464789,29.1
202,2014/2/20,"PUERTO CASADO, PA",8.4,28.6
203,2014/2/21,"PUERTO CASADO, PA",0,28.5
204,2014/2/22,"PUERTO CASADO, PA",11.57464789,28.7
205,2014/2/23,"PUERTO CASADO, PA",11.57464789,28.9
206,2014/2/24,"PUERTO CASADO, PA",11.57464789,28.2
207,2014/2/25,"PUERTO CASADO, PA",11.57464789,27.8
208,2014/2/26,"PUERTO CASADO, PA",11.57464789,27.5
209,2014/2/27,"PUERTO CASADO, PA",0.8,22.3
210,2014/2/28,"PUERTO CASADO, PA",0,23.1
211,2014/3/1,"PUERTO CASADO, PA",11.57464789,26.2
212,2014/3/2,"PUERTO CASADO, PA",11.57464789,26.9
213,2014/3/3,"PUERTO CASADO, PA",38.9,24.1
214,2014/3/4,"PUERTO CASADO, PA",35.3,24.6
215,2014/3/5,"PUERTO CASADO, PA",0.8,27.3
216,2014/3/6,"PUERTO CASADO, PA",0,29.3
217,2014/3/7,"PUERTO CASADO, PA",11.57464789,28.8
218,2014/3/8,"PUERTO CASADO, PA",11.57464789,27.3
219,2014/3/9,"PUERTO CASADO, PA",11.57464789,28.6
220,2014/3/10,"PUERTO CASADO, PA",11.57464789,24.6
221,2014/3/11,"PUERTO CASADO, PA",58.2,23.3
222,2014/3/12,"PUERTO CASADO, PA",3.3,24.8
223,2014/3/13,"PUERTO CASADO, PA",0,28.1
224,2014/3/14,"PUERTO CASADO, PA",11.57464789,29.2
225,2014/3/15,"PUERTO CASADO, PA",11.57464789,29.2
226,2014/3/16,"PUERTO CASADO, PA",11.57464789,29.4
227,2014/3/17,"PUERTO CASADO, PA",11.57464789,28.7
228,2014/3/18,"PUERTO CASADO, PA",11.57464789,28.7
229,2014/3/19,"PUERTO CASADO, PA",2.3,25.4
230,2014/3/20,"PUERTO CASADO, PA",120.1,22.8
231,2014/3/21,"PUERTO CASADO, PA",1,23.7
232,2014/3/22,"PUERTO CASADO, PA",9.4,25.3
233,2014/3/23,"PUERTO CASADO, PA",0,21.7
234,2014/3/24,"PUERTO CASADO, PA",11.57464789,25.1
235,2014/3/25,"PUERTO CASADO, PA",11.57464789,27.5
236,2014/3/26,"PUERTO CASADO, PA",11.57464789,27.4
237,2014/3/27,"PUERTO CASADO, PA",11.57464789,27.7
238,2014/3/28,"PUERTO CASADO, PA",11.57464789,27.3
239,2014/3/29,"PUERTO CASADO, PA",7.1,26.1
240,2014/3/30,"PUERTO CASADO, PA",0,27.9
241,2014/3/31,"PUERTO CASADO, PA",11.57464789,29.2
242,2014/4/1,"PUERTO CASADO, PA",11.57464789,29.7
243,2014/4/2,"PUERTO CASADO, PA",11.57464789,29.8
244,2014/4/3,"PUERTO CASADO, PA",11.57464789,28.8
245,2014/4/4,"PUERTO CASADO, PA",11.57464789,30.1
246,2014/4/5,"PUERTO CASADO, PA",11.57464789,30.3
247,2014/4/6,"PUERTO CASADO, PA",11.57464789,31.5
248,2014/4/7,"PUERTO CASADO, PA",11.57464789,30.9
249,2014/4/8,"PUERTO CASADO, PA",11.57464789,31.3
250,2014/4/9,"PUERTO CASADO, PA",11.57464789,31.1
251,2014/4/10,"PUERTO CASADO, PA",1,27.8
252,2014/4/11,"PUERTO CASADO, PA",0,29.1
253,2014/4/12,"PUERTO CASADO, PA",3,23.2
254,2014/4/13,"PUERTO CASADO, PA",8.1,20.5
255,2014/4/14,"PUERTO CASADO, PA",0,17.1
256,2014/4/15,"PUERTO CASADO, PA",11.57464789,21.4
257,2014/4/16,"PUERTO CASADO, PA",11.57464789,24.5
258,2014/4/17,"PUERTO CASADO, PA",11.57464789,27.9
259,2014/4/18,"PUERTO CASADO, PA",11.57464789,29.4
260,2014/4/19,"PUERTO CASADO, PA",11.57464789,26.3
261,2014/4/20,"PUERTO CASADO, PA",3.3,22.9
262,2014/4/21,"PUERTO CASADO, PA",0,26.4
263,2014/4/22,"PUERTO CASADO, PA",10.4,23.8
264,2014/4/23,"PUERTO CASADO, PA",13.7,24.2
265,2014/4/24,"PUERTO CASADO, PA",0,23.4
266,2014/4/25,"PUERTO CASADO, PA",11.57464789,20.8
267,2014/4/26,"PUERTO CASADO, PA",11.57464789,22.2
268,2014/4/27,"PUERTO CASADO, PA",11.57464789,27.1
269,2014/4/28,"PUERTO CASADO, PA",11.57464789,26.6
270,2014/4/29,"PUERTO CASADO, PA",11.57464789,27.9
271,2014/4/30,"PUERTO CASADO, PA",11.57464789,26.9
272,2014/5/1,"PUERTO CASADO, PA",54.4,21.9
273,2014/5/2,"PUERTO CASADO, PA",0,22.8
274,2014/5/3,"PUERTO CASADO, PA",11.57464789,26.5
275,2014/5/4,"PUERTO CASADO, PA",11.57464789,28.4
276,2014/5/5,"PUERTO CASADO, PA",11.57464789,24.9
277,2014/5/6,"PUERTO CASADO, PA",55.4,22.7
278,2014/5/7,"PUERTO CASADO, PA",0,24.4
279,2014/5/8,"PUERTO CASADO, PA",11.57464789,25.8
280,2014/5/9,"PUERTO CASADO, PA",11.57464789,24.4
281,2014/5/10,"PUERTO CASADO, PA",11.57464789,21.9
282,2014/5/11,"PUERTO CASADO, PA",11.57464789,22
283,2014/5/12,"PUERTO CASADO, PA",11.57464789,24
284,2014/5/13,"PUERTO CASADO, PA",2.3,22.4
285,2014/5/14,"PUERTO CASADO, PA",4.8,24.4
286,2014/5/15,"PUERTO CASADO, PA",5.3,22.3
287,2014/5/16,"PUERTO CASADO, PA",115.3,23.1
288,2014/5/17,"PUERTO CASADO, PA",0,23
289,2014/5/18,"PUERTO CASADO, PA",6.1,23.2
290,2014/5/19,"PUERTO CASADO, PA",0,24.1
291,2014/5/20,"PUERTO CASADO, PA",11.57464789,26.6
292,2014/5/21,"PUERTO CASADO, PA",11.57464789,28
293,2014/5/22,"PUERTO CASADO, PA",1,24.5
294,2014/5/23,"PUERTO CASADO, PA",31.5,13.6
295,2014/5/24,"PUERTO CASADO, PA",7.6,12.3
296,2014/5/25,"PUERTO CASADO, PA",47.8,13.2
297,2014/5/26,"PUERTO CASADO, PA",26.4,11.7
298,2014/5/27,"PUERTO CASADO, PA",0,13.6
299,2014/5/28,"PUERTO CASADO, PA",11.57464789,16.3
300,2014/5/29,"PUERTO CASADO, PA",11.57464789,21
301,2014/5/30,"PUERTO CASADO, PA",11.57464789,23.4
302,2014/5/31,"PUERTO CASADO, PA",1.3,24.4
303,2014/6/1,"PUERTO CASADO, PA",0,20.2
304,2014/6/2,"PUERTO CASADO, PA",11.57464789,15.9
305,2014/6/3,"PUERTO CASADO, PA",11.57464789,17.6
306,2014/6/4,"PUERTO CASADO, PA",11.57464789,24.4
307,2014/6/5,"PUERTO CASADO, PA",0.3,26.9
308,2014/6/6,"PUERTO CASADO, PA",29.2,23.1
309,2014/6/7,"PUERTO CASADO, PA",2.3,23.5
310,2014/6/8,"PUERTO CASADO, PA",13.5,21.1
311,2014/6/9,"PUERTO CASADO, PA",0,18.2
312,2014/6/10,"PUERTO CASADO, PA",34.5,19.6
313,2014/6/11,"PUERTO CASADO, PA",0,23.2
314,2014/6/12,"PUERTO CASADO, PA",11.57464789,25.1
315,2014/6/13,"PUERTO CASADO, PA",11.57464789,25.7
316,2014/6/14,"PUERTO CASADO, PA",19.6,16.3
317,2014/6/15,"PUERTO CASADO, PA",0.3,18.6
318,2014/6/16,"PUERTO CASADO, PA",0,19.3
319,2014/6/17,"PUERTO CASADO, PA",0.3,21.3
320,2014/6/18,"PUERTO CASADO, PA",0,21.9
321,2014/6/19,"PUERTO CASADO, PA",11.57464789,19.1
322,2014/6/20,"PUERTO CASADO, PA",11.57464789,17.9
323,2014/6/21,"PUERTO CASADO, PA",11.57464789,21.5
324,2014/6/22,"PUERTO CASADO, PA",11.57464789,23.2
325,2014/6/23,"PUERTO CASADO, PA",11.57464789,24.8
326,2014/6/24,"PUERTO CASADO, PA",11.57464789,26.8
327,2014/6/25,"PUERTO CASADO, PA",11.57464789,25.9
328,2014/6/26,"PUERTO CASADO, PA",11.57464789,24.2
329,2014/6/27,"PUERTO CASADO, PA",23.1,17.3
330,2014/6/28,"PUERTO CASADO, PA",14.2,13.8
331,2014/6/29,"PUERTO CASADO, PA",1.5,15.1
332,2014/6/30,"PUERTO CASADO, PA",0,15.2
333,2014/7/1,"PUERTO CASADO, PA",11.57464789,17.5
334,2014/7/2,"PUERTO CASADO, PA",11.57464789,22.8
335,2014/7/3,"PUERTO CASADO, PA",11.57464789,26
336,2014/7/4,"PUERTO CASADO, PA",11.57464789,27.2
337,2014/7/5,"PUERTO CASADO, PA",11.57464789,24.4
338,2014/7/6,NA,11.57464789,25.67529728
339,2014/7/7,"PUERTO CASADO, PA",7.1,13.3
340,2014/7/8,"PUERTO CASADO, PA",1.8,15.4
341,2014/7/9,"PUERTO CASADO, PA",4.1,15.7
342,2014/7/10,"PUERTO CASADO, PA",2.8,16.4
343,2014/7/11,"PUERTO CASADO, PA",1,19.3
344,2014/7/12,"PUERTO CASADO, PA",0,21.8
345,2014/7/13,"PUERTO CASADO, PA",11.57464789,24.8
346,2014/7/14,"PUERTO CASADO, PA",11.57464789,25.2
347,2014/7/15,"PUERTO CASADO, PA",11.57464789,24.3
348,2014/7/16,"PUERTO CASADO, PA",11.57464789,26.1
349,2014/7/17,"PUERTO CASADO, PA",11.57464789,26
350,2014/7/18,"PUERTO CASADO, PA",19.1,20.5
351,2014/7/19,"PUERTO CASADO, PA",0,15.4
352,2014/7/20,"PUERTO CASADO, PA",11.57464789,17.1
353,2014/7/21,"PUERTO CASADO, PA",11.57464789,23
354,2014/7/22,"PUERTO CASADO, PA",11.57464789,24.1
355,2014/7/23,"PUERTO CASADO, PA",11.57464789,24.7
356,2014/7/24,"PUERTO CASADO, PA",28.4,13.5
357,2014/7/25,"PUERTO CASADO, PA",0,11.4
358,2014/7/26,"PUERTO CASADO, PA",11.57464789,14.2
359,2014/7/27,"PUERTO CASADO, PA",11.57464789,16
360,2014/7/28,"PUERTO CASADO, PA",11.57464789,20.7
361,2014/7/29,"PUERTO CASADO, PA",11.57464789,22.9
362,2014/7/30,"PUERTO CASADO, PA",11.57464789,24.6
363,2014/7/31,"PUERTO CASADO, PA",11.57464789,25
364,2014/8/1,"PUERTO CASADO, PA",11.57464789,25.9
365,2014/8/2,"PUERTO CASADO, PA",11.57464789,26.4
366,2014/8/3,"PUERTO CASADO, PA",11.57464789,26.3
367,2014/8/4,"PUERTO CASADO, PA",11.57464789,27.1
368,2014/8/5,"PUERTO CASADO, PA",11.57464789,20.7
369,2014/8/6,"PUERTO CASADO, PA",11.57464789,24.2
370,2014/8/7,"PUERTO CASADO, PA",11.57464789,22.8
371,2014/8/8,"PUERTO CASADO, PA",11.57464789,16.9
372,2014/8/9,"PUERTO CASADO, PA",11.57464789,19.3
373,2014/8/10,"PUERTO CASADO, PA",11.57464789,23
374,2014/8/11,"PUERTO CASADO, PA",11.57464789,24.6
375,2014/8/12,"PUERTO CASADO, PA",11.57464789,27.1
376,2014/8/13,"PUERTO CASADO, PA",2.3,18.2
377,2014/8/14,"PUERTO CASADO, PA",0,15.9
378,2014/8/15,"PUERTO CASADO, PA",11.57464789,21.4
379,2014/8/16,"PUERTO CASADO, PA",11.57464789,24.1
380,2014/8/17,"PUERTO CASADO, PA",11.57464789,24
381,2014/8/18,"PUERTO CASADO, PA",11.57464789,23.1
382,2014/8/19,"PUERTO CASADO, PA",11.57464789,25.1
383,2014/8/20,"PUERTO CASADO, PA",11.57464789,26.7
384,2014/8/21,"PUERTO CASADO, PA",11.57464789,26.4
385,2014/8/22,"PUERTO CASADO, PA",11.57464789,27.4
386,2014/8/23,"PUERTO CASADO, PA",11.57464789,27.6
387,2014/8/24,"PUERTO CASADO, PA",11.57464789,27.9
388,2014/8/25,"PUERTO CASADO, PA",11.57464789,22.9
389,2014/8/26,"PUERTO CASADO, PA",11.57464789,17
390,2014/8/27,"PUERTO CASADO, PA",11.57464789,18.1
391,2014/8/28,"PUERTO CASADO, PA",11.57464789,19.3
392,2014/8/29,"PUERTO CASADO, PA",11.57464789,22
393,2014/8/30,"PUERTO CASADO, PA",11.57464789,26.4
394,2014/8/31,"PUERTO CASADO, PA",11.57464789,30
395,2014/9/1,"PUERTO CASADO, PA",11.57464789,29.7
396,2014/9/2,"PUERTO CASADO, PA",11.57464789,29.8
397,2014/9/3,"PUERTO CASADO, PA",11.57464789,30.3
398,2014/9/4,"PUERTO CASADO, PA",11.57464789,31
399,2014/9/5,"PUERTO CASADO, PA",11.57464789,29.8
400,2014/9/6,"PUERTO CASADO, PA",11.57464789,29.9
401,2014/9/7,"PUERTO CASADO, PA",11.4,26.6
402,2014/9/8,"PUERTO CASADO, PA",0,26.1
403,2014/9/9,"PUERTO CASADO, PA",11.57464789,29.8
404,2014/9/10,"PUERTO CASADO, PA",11.57464789,30.5
405,2014/9/11,"PUERTO CASADO, PA",11.57464789,22.3
406,2014/9/12,"PUERTO CASADO, PA",11.57464789,21.4
407,2014/9/13,"PUERTO CASADO, PA",11.57464789,27.4
408,2014/9/14,"PUERTO CASADO, PA",11.57464789,28.7
409,2014/9/15,"PUERTO CASADO, PA",17.3,22.4
410,2014/9/16,"PUERTO CASADO, PA",0,20.9
411,2014/9/17,"PUERTO CASADO, PA",11.57464789,24.2
412,2014/9/18,"PUERTO CASADO, PA",11.57464789,28.4
413,2014/9/19,"PUERTO CASADO, PA",1.3,26.6
414,2014/9/20,"PUERTO CASADO, PA",0,24.6
415,2014/9/21,"PUERTO CASADO, PA",11.57464789,23
416,2014/9/22,"PUERTO CASADO, PA",11.57464789,23.8
417,2014/9/23,"PUERTO CASADO, PA",11.57464789,28.1
418,2014/9/24,"PUERTO CASADO, PA",11.57464789,30.1
419,2014/9/25,"PUERTO CASADO, PA",11.57464789,29.1
420,2014/9/26,"PUERTO CASADO, PA",11.57464789,29.7
421,2014/9/27,"PUERTO CASADO, PA",20.1,25.5
422,2014/9/28,"PUERTO CASADO, PA",1,28.2
423,2014/9/29,"PUERTO CASADO, PA",0,30.8
424,2014/9/30,"PUERTO CASADO, PA",11.57464789,31.2
425,2014/10/1,"PUERTO CASADO, PA",11.57464789,29.7
426,2014/10/2,"PUERTO CASADO, PA",11.57464789,27.1
427,2014/10/3,"PUERTO CASADO, PA",11.57464789,27.8
428,2014/10/4,"PUERTO CASADO, PA",11.57464789,29.2
429,2014/10/5,"PUERTO CASADO, PA",11.57464789,29.8
430,2014/10/6,"PUERTO CASADO, PA",11.57464789,30.2
431,2014/10/7,"PUERTO CASADO, PA",11.57464789,28.9
432,2014/10/8,"PUERTO CASADO, PA",11.57464789,31.5
433,2014/10/9,"PUERTO CASADO, PA",11.57464789,31.8
434,2014/10/10,"PUERTO CASADO, PA",11.57464789,32.1
435,2014/10/11,"PUERTO CASADO, PA",11.57464789,25.8
436,2014/10/12,"PUERTO CASADO, PA",11.57464789,26.9
437,2014/10/13,"PUERTO CASADO, PA",11.57464789,31.5
438,2014/10/14,"PUERTO CASADO, PA",11.57464789,32.3
439,2014/10/15,"PUERTO CASADO, PA",11.57464789,33.8
